price,MUP-based balance,minimize variance,two-side balance
0.14,1.32,1.32,1.32
0.15,9.8,4.3,5.8
0.16,24.24,13.24,21.24
0.17,50.01,37.01,45.51
0.18,82.55,65.05,76.55
0.19,74.44,67.44,66.44
0.2,75.82,46.82,44.82
0.21,48.38,45.88,38.38
0.22,35.75,29.25,18.75
0.23,25.46,18.46,9.96
0.24,17.97,10.97,4.97
0.25,4.99,4.99,2.99
0.26,0.66,2.16,1.16
0.27,0.66,4.16,1.16
